Investor;Time of investment;Company;Industry;Vertical;Employees;Postal code;Region;Invested amount (DKK);Source;# of investors in round;CVR;GP2019;GP2020;GP2021;GP2022;Valuta ;AvgYearlyGrowth;InvestorCountry;# Danish investors;# intertiol investors;Time of first venture investment in company;Series;Betweenness;Degree_centralization;Normalized_degree_centralization;Binary_degree_centralization;Binary_normalized_degree_centralization
Burda Principal Investments;2016-01-01 00.00.00;Miinto;IT;E-commerce;34,5;2300;Hovedstaden;;;3;32091059;4174000;5405000;4424000;2119000;DKK;;DE;0;3;2012-08-01 00.00.00;Early-stage;0;2;0,045454545;2;0,054054054
Cherry Ventures;2019-10-01 00.00.00;LifeX;Other;Real Estate;5;1717;Hovedstaden;56000000;berlingske.dk;3;38502824;-3918000;-3599000;635000;;DKK;;DE;1;2;2018-11-01 00.00.00;Early-Bridge;0;3;0,068181818;3;0,081081081
Cherry Ventures;2018-11-01 00.00.00;LifeX;Other;Real Estate;5;1717;Hovedstaden;30000000;fins.dk;3;38502824;-3918000;-3599000;635000;;DKK;;DE;2;1;2018-11-01 00.00.00;Early-stage;0;3;0,068181818;3;0,081081081
Cipio Partners;2018-05-01 00.00.00;Blackwood Seven;IT;SaaS/Marketing;40;2100;Hovedstaden;125000000;markedsforing.dk;5;32337422;1387000;10557000;12302000;;DKK;;DE;2;3;2013-08-01 00.00.00;Growth;959;9;0,204545455;9;0,243243243
Digital Health Ventures;2019-03-01 00.00.00;Liva Healthcare;IT;HealthTech;15;1434;Hovedstaden;60000000;livahealthcare.com;3;38737368;6169000;7866000;4435000;4022000;DKK;;DE;0;3;2017-01-01 00.00.00;Early-stage;284;5;0,113636364;5;0,135135135
Digital Health Ventures;2019-03-01 00.00.00;DrugStars;IT;HealthTech;5;2100;Hovedstaden;18000000;berlingske.dk;3;36893974;-4397000;-2069000;;;DKK;;DE;1;2;2017-01-01 00.00.00;Seed;284;5;0,113636364;5;0,135135135
High-Tech Gründerfonds;2019-10-01 00.00.00;Draupnir Bio;Life Science;BioTech;1;8240;Midtjylland;225000000;medwatch.dk;4;38546880;-15910000;;;;DKK;;DE;1;3;2019-10-01 00.00.00;Growth;0;3;0,068181818;3;0,081081081
HMW Innovations;2019-03-01 00.00.00;Liva Healthcare;IT;HealthTech;15;1434;Hovedstaden;60000000;livahealthcare.com;3;38737368;6169000;7866000;4435000;4022000;DKK;;DE;0;3;2017-01-01 00.00.00;Early-stage;0;2;0,045454545;2;0,054054054
JPKE;2017-12-01 00.00.00;Peergrade;IT;SaaS/EdTech;8;2200;Hovedstaden;9450000;marketbrief.edweek.org;6;36999551;1685000;521000;230000;2350000;DKK;;DE;2;4;2016-08-01 00.00.00;Seed;0;6;0,136363636;6;0,162162162
LeadX Capital Partners;2017-06-01 00.00.00;Planday;IT;SaaS/Enterprise solutions;59;2300;Hovedstaden;93000000;techsavvy.media;3;27666248;15794000;25232000;;50206000;DKK;;DE;0;3;2014-05-01 00.00.00;Early-stage;0;5;0,113636364;5;0,135135135
Point Nine Capital;2019-09-01 00.00.00;Pento;IT;Fintech;5;8000;Midtjylland;18000000;techsavvy.media;2;37959383;-553000;-805000;-8522000;;DKK;;DE;0;2;2017-10-01 00.00.00;Seed;0;2;0,045454545;2;0,054054054
Project A;2017-12-01 00.00.00;Peergrade;IT;SaaS/EdTech;8;2200;Hovedstaden;9450000;marketbrief.edweek.org;6;36999551;1685000;521000;230000;2350000;DKK;;DE;2;4;2016-08-01 00.00.00;Seed;126,6905492;7;0,159090909;7;0,189189189
Santo Venture Capital;2019-03-01 00.00.00;Liva Healthcare;IT;HealthTech;15;1434;Hovedstaden;60000000;livahealthcare.com;3;38737368;6169000;7866000;4435000;4022000;DKK;;DE;0;3;2017-01-01 00.00.00;Early-stage;0;2;0,045454545;2;0,054054054
TRUMPF Venture;2018-09-01 00.00.00;RSP Systems;Life Science;Medtech;22;5260;Syddanmark;29000000;medwatch.dk;1;29514828;11560000;3483000;9414000;;DKK;;DE;0;1;2018-09-01 00.00.00;Early-stage;0;0;0;0;0
Wellington Partners;2019-03-01 00.00.00;SNIPR Biome;Life Science;BioTech;11;2100;Hovedstaden;320000000;berlingske.dk;4;38871277;-24638000;-38908000;-37777000;;DKK;;DE;2;2;2019-03-01 00.00.00;Late-stage;184,4031079;5;0,113636364;5;0,135135135
Wellington Partners;2018-12-01 00.00.00;Tonsser;IT;Social/Platform Software;25;2000;Hovedstaden;41000000;børsen.dk;3;35472088;-4599000;-1805000;-2588000;;DKK;;DE;1;2;2015-11-01 00.00.00;Early-stage;184,4031079;5;0,113636364;5;0,135135135
Wellington Partners;2016-06-01 00.00.00;Tonsser;IT;Social/Platform Software;14,5;2000;Hovedstaden;13428000;trendsonline.dk;2;35472088;-4599000;-1805000;-2588000;;DKK;;DE;1;1;2015-11-01 00.00.00;Seed-Bridge;184,4031079;5;0,113636364;5;0,135135135
Cipio Partners;2017-06-01 00.00.00;Falcon.io;IT;SaaS/Marketing;149,5;1553;Hovedstaden;;;4;33362226;18240000;21022000;25348000;;EUR;;DE;1;3;2012-06-01 00.00.00;Early-Bridge;959;9;0,204545455;9;0,243243243
Evonik Venture Capital;2017-12-01 00.00.00;HPNow;CleanTech;CleanTech;5;2200;Hovedstaden;;;1;37258822;-205000;-787000;-786000;;EUR;;DE;0;1;2017-12-01 00.00.00;Seed;0;0;0;0;0
Target Partners;2017-06-01 00.00.00;Falcon.io;IT;SaaS/Marketing;149,5;1553;Hovedstaden;;;4;33362226;18240000;21022000;25348000;;EUR;;DE;1;3;2012-06-01 00.00.00;Early-Bridge;0;3;0,068181818;3;0,081081081
Wellington Partners Life Science;2019-09-01 00.00.00;Stipe Therapeutics;Life Science;BioTech;;8230;Midtjylland;149000000;medwatch.dk;4;39691175;-1331000;-2949000;-4087000;;EUR;;DE;2;2;2019-09-01 00.00.00;Late-stage;0;3;0,068181818;3;0,081081081
Project A;2019-02-01 00.00.00;Dixa;IT;SaaS/Enterprise solutions;20;1161;Hovedstaden;91000000;børsen.dk;2;36561009;6073666;19833781;21824022;;USD;;DE;1;1;2018-01-01 00.00.00;Early-stage;126,6905492;7;0,159090909;7;0,189189189
ENERN;2018-01-01 00.00.00;GenieBelt;IT;SaaS/Enterprise solutions;20;2100;Hovedstaden;;;1;35231129;548000;-1817000;16528000;;DKK;;CS;0;1;2013-01-01 00.00.00;Seed-Bridge;0;0;0;0;0
Seier Capital;2017-10-01 00.00.00;Nustay;IT;Social/Platform Software;3;1411;Hovedstaden;;;2;36090316;;;;;-;;CH;0;2;2017-10-01 00.00.00;Pre-Seed;143;2;0,045454545;2;0,054054054
ACE & Company;2016-08-01 00.00.00;Samlino.dk;IT;Social/Platform Software;65;1411;Hovedstaden;150000000;trendsonline.dk;1;36198273;509000;4033000;4306000;;DKK;;CH;0;1;2014-12-01 00.00.00;Late-stage;0;0;0;0;0
Seier Capital;2019-04-01 00.00.00;Spring Copenhagen;Other;Design;3;4000;Hovedstaden;6000000;fins.dk;1;37156736;3430000;11947000;15069000;;DKK;;CH;0;1;2019-04-01 00.00.00;Seed;143;2;0,045454545;2;0,054054054
Seier Capital;2017-09-01 00.00.00;"Bilagscan ( Paperflow ApS; Broadway Aps)";IT;Fintech;4;1260;Hovedstaden;;;1;37035785;240000;-3443000;400000;2507000;DKK;;CH;0;1;2017-09-01 00.00.00;Pre-Seed;143;2;0,045454545;2;0,054054054
Seier Capital;2016-04-01 00.00.00;Mearto;IT;Social/Platform Software;3;2300;Hovedstaden;;;2;37326895;491000;272000;294000;;DKK;;CH;1;1;2016-04-01 00.00.00;Pre-Seed;143;2;0,045454545;2;0,054054054
Seier Capital;2016-08-01 00.00.00;Tricked Esport;IT;E-sport;1;1457;Hovedstaden;;berlingske.dk;1;37590045;4296000;-237000;;;DKK;;CH;0;1;2016-08-01 00.00.00;Pre-Seed;143;2;0,045454545;2;0,054054054
Swisscom Ventures;2019-04-01 00.00.00;Labster;IT;SaaS/EdTech;35;1434;Hovedstaden;140000000;horten.dk;7;34457808;6210000;33904000;-72268000;;DKK;;CH;0;7;2017-09-01 00.00.00;Late-stage;0;6;0,136363636;6;0,162162162
HBM Partners;2018-10-01 00.00.00;Galecto;Life Science;BioTech;5;2200;Hovedstaden;590000000;medwatch.dk;10;34878366;2423000;4884000;9407000;12287000;EUR;;CH;3;7;2012-05-01 00.00.00;Growth;0;9;0,204545455;9;0,243243243
Roche Venture Fund;2018-03-01 00.00.00;NMD Pharma;Life Science;BioTech;14;8200;Midtjylland;280000000;newsroom.au.dk;4;36899069;-7132000;-7870000;-11029000;;EUR;;CH;2;2;2016-06-01 00.00.00;Growth;0;6;0,136363636;6;0,162162162
Polar Light Capital;2016-06-01 00.00.00;November First;IT;FinTech;7;1401;Hovedstaden;;trendsonline.dk;2;37367605;-1229000;-2036000;-2670000;;DKK;;AU;1;1;2016-06-01 00.00.00;Pre-Seed;0;1;0,022727273;1;0,027027027
Speedinvest;2018-09-01 00.00.00;Grandhood;IT;Fintech;9;1434;Hovedstaden;20000000;m.itwatch.dk;3;38300660;;;-3906000;;DKK;;AT;2;1;2017-12-01 00.00.00;Seed;0;1;0,022727273;1;0,027027027
American & EU investors;2017-06-01 00.00.00;Openledger;IT;Blockchain;2;9490;Nordjylland;11000000;finextra.com;;35809171;;;;;-;;;0;;2017-06-01 00.00.00;Seed;0;1;0,022727273;1;0,027027027
Chinese;2017-06-01 00.00.00;Openledger;IT;Blockchain;2;9490;Nordjylland;11000000;finextra.com;;35809171;;;;;-;;;0;;2017-06-01 00.00.00;Seed;0;1;0,022727273;1;0,027027027
-;2016-06-01 00.00.00;Boatflex;IT;Social/Platform Software;3;1665;Hovedstaden;1268200;borsen.dk;1;35889450;-8000;-4000;-14000;;DKK;;;0;1;2016-06-01 00.00.00;Pre-Seed;0;2;0,045454545;2;0,054054054
VentureFund;2017-03-01 00.00.00;Boatflex;IT;Social/Platform Software;3;1665;Hovedstaden;5000000;techsavvy.media;2;35889450;-8000;-4000;-14000;;DKK;;;1;1;2016-06-01 00.00.00;Pre-Seed;0;2;0,045454545;2;0,054054054
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
