Investor;Time of investment;Company;Industry;Vertical;Employees;Postal code;Region;Invested amount (DKK);Source;# of investors in round;CVR;GP2019;GP2020;GP2021;GP2022;Valuta ;AvgYearlyGrowth;InvestorCountry;# Danish investors;# intertiol investors;Time of first venture investment in company;Series;Betweenness;Degree_centralization;Normalized_degree_centralization;Binary_degree_centralization;Binary_normalized_degree_centralization
Novo Holdings;2016-01-01 00.00.00;IO Biotech;Life Science;BioTech;4;2200;Hovedstaden;82000000;lundbeckfonden.com;3;36474483;;;;;DKK;;DK;3;0;2015-01-01 00.00.00;Early-stage;1223,09166;28;0,636363636;24;0,648648649
NovoSeeds;2019-10-01 00.00.00;Reapplix;Life Science;MedTech;10;3460;Hovedstaden;25000000;medwatch.dk;3;31261570;320000;303000;-16000;;DKK;;DK;3;0;2010-09-01 00.00.00;Early-Bridge;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2016-12-01 00.00.00;Hoba Therapeutics;Life Science;BioTech;1;2750;Hovedstaden;14000000;medwatch.dk;2;38231170;296000;839000;1393000;-7182000;DKK;;DK;2;0;2016-12-01 00.00.00;Seed;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2017-06-01 00.00.00;Antag Therapeutics;Life Science;BioTech;3;2200;Hovedstaden;20000000;berlingske.dk;1;38402056;-7867000;-10925000;-13086000;;DKK;;DK;1;0;2017-05-01 00.00.00;Seed;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2016-09-01 00.00.00;Reapplix;Life Science;MedTech;3;3460;Hovedstaden;20000000;medwatch.dk;3;31261570;320000;303000;-16000;;DKK;;DK;3;0;2010-09-01 00.00.00;Early-Bridge;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2019-06-01 00.00.00;Afyx Therapeutics;Life Science;BioTech;3;2300;Hovedstaden;86000000;fins.dk;3;35839739;-52476000;-36231000;27442000;;DKK;;DK;2;1;2017-05-01 00.00.00;Late-stage;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2016-01-01 00.00.00;Acesion Pharma;Life Science;BioTech;7;2200;Hovedstaden;;;1;34083738;-35794000;;;;DKK;;DK;1;0;2011-12-01 00.00.00;Early-stage;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2018-09-01 00.00.00;BioPhero;Life Science;BioTech;3;2800;Hovedstaden;22000000;avisen.dk;2;38109340;1655000;5136000;-1600000;-3590000;DKK;;DK;1;1;2018-09-01 00.00.00;Seed;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2019-10-01 00.00.00;Draupnir Bio;Life Science;BioTech;1;8240;Midtjylland;225000000;medwatch.dk;4;38546880;-15910000;;;;DKK;;DK;1;3;2019-10-01 00.00.00;Growth;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2018-05-01 00.00.00;Biosyntia;Life Science;BioTech;18;2100;Hovedstaden;30000000;biosyntia.com;2;34892970;439000;818000;1167000;;DKK;;DK;1;1;2015-05-01 00.00.00;Early-stage;1247,29888;21;0,477272727;18;0,486486486
NovoSeeds;2017-05-01 00.00.00;Afyx Therapeutics;Life Science;BioTech;1;2900;Hovedstaden;120000000;afyxtx.com;3;35839739;-52476000;-36231000;27442000;;DKK;;DK;2;1;2017-05-01 00.00.00;Late-stage;1247,29888;21;0,477272727;18;0,486486486
Nykredit;2017-05-01 00.00.00;Lur;IT;Fintech;34;8000;Midtjylland;31000000;trendsonline.dk;2;36982837;-79736000;19806000;89608000;;DKK;;DK;2;0;2015-08-01 00.00.00;Early-Bridge;0;4;0,090909091;4;0,108108108
PreSeed Ventures;2016-11-01 00.00.00;Leneo;IT;FinTech;3;2750;Hovedstaden;;;2;37648035;-180000;4905000;4858000;;DKK;;DK;2;0;2016-11-01 00.00.00;Pre-Seed;27,77530238;6;0,136363636;5;0,135135135
PreSeed Ventures;2018-01-01 00.00.00;Coinify;IT;FinTech;18;2730;Hovedstaden;29760000;coinify.com;4;35847995;7550000;19313000;;34303000;DKK;;DK;3;1;2014-09-01 00.00.00;Early-Bridge;27,77530238;6;0,136363636;5;0,135135135
PreSeed Ventures;2019-09-01 00.00.00;Dreamdata.io;IT;SaaS/Marketing;3;2791;Hovedstaden;3500000;seedcamp.com;3;39855224;-327000;-1402000;-2685000;;DKK;;DK;2;1;2019-09-01 00.00.00;Pre-Seed;27,77530238;6;0,136363636;5;0,135135135
Promentum Equity Partners;2017-09-01 00.00.00;Actimo;IT;SaaS/Enterprise solutions;26;2100;Hovedstaden;;borsen.dk;1;32932770;16405000;18340000;31411000;;DKK;;DK;1;0;2011-12-01 00.00.00;Seed;0;2;0,045454545;2;0,054054054
Promentum Equity Partners;2018-02-01 00.00.00;Plytix;IT;SaaS/Enterprise solutions;1;1361;Hovedstaden;9000000;itwatch.dk;1;35858180;572000;2557000;8957000;;DKK;;DK;1;0;2015-09-01 00.00.00;Seed;0;2;0,045454545;2;0,054054054
Promentum Equity Partners;2019-03-01 00.00.00;AskCody;IT;SaaS/Enterprise solutions;17;9000;Nordjylland;;;1;33757891;2625000;9655000;16376000;19949000;DKK;;DK;1;0;2017-03-01 00.00.00;Seed;0;2;0,045454545;2;0,054054054
Promentum Equity Partners;2018-07-01 00.00.00;FarmBackup;Other;AgTech;3;2300;Hovedstaden;;;1;36960787;236000;1526000;1504000;;DKK;;DK;1;0;2018-07-01 00.00.00;Seed;0;2;0,045454545;2;0,054054054
Promentum Equity Partners;2018-01-01 00.00.00;Motosumo (MO2TION TECHNOLOGY INNOVATION);IT;HealthTech;8;2200;Hovedstaden;;;2;35660720;-525000;-1222000;-5912000;-10509000;DKK;;DK;1;1;2016-02-01 00.00.00;Seed;0;2;0,045454545;2;0,054054054
Promentum Equity Partners;2017-05-01 00.00.00;Grazper;IT;AI;7;1255;Hovedstaden;;;1;36718285;-343000;;15988000;12688000;DKK;;DK;1;0;2017-05-01 00.00.00;Pre-Seed;0;2;0,045454545;2;0,054054054
